SAMPID,XPT,YPT,ZPT,Thickness (cm),Pt (g/t),Ni (%),Cu (%)
1165,9476.3,-3297.96,0,120,0.923333333,0.197,0.001
1224,9490.75,-3692.64,0,130,5.654230769,0.001,0.0015
968,9419.35,-3767.16,0,118,10.69118644,0.001,0.0015
360,8626.3,-3186.64,0,82,0.034146341,0.0025,0.0015
267,8471.6,-3489.32,0,60,0.27,0.008,0.0015
681,9283.35,-3851.8,0,120,9.965,0.001,0.002
107,8237.85,-3770.84,0,20,7.775,0.002,0.002
489,8768.25,-3154.44,0,60,0.38,0.005,0.002
120,8248.9,-3763.48,0,20,0.245,0.001,0.0025
474,8759.75,-4065.24,0,20,0.145,0.0045,0.0025
19,8108.65,-3814.08,0,20,0.23,0.0045,0.0025
77,8208.95,-3688.04,0,20,0.16,0.0015,0.003
230,8423.15,-3714.72,0,55,0.345454545,0.05125,0.003
522,8817.55,-3189.4,0,20,0.7475,0.006,0.0035
427,8722.35,-3169.16,0,20,0.165,0.006,0.004
741,9325,-3601.56,0,20,1.615,0.0065,0.004
268,8474.15,-3755.2,0,120,0.391666667,0.019,0.004
246,8450.35,-3473.68,0,20,0.845,0.0075,0.0045
119,8248.05,-3733.12,0,20,1.21,0.0075,0.0045
314,8535.35,-3294.28,0,53,0.781132075,0.0161,0.0045
179,8297.35,-3534.4,0,20,0.58,0.006,0.005
1192,9483.1,-3303.48,0,120,1.556666667,0.194,0.005
284,8501.35,-3633.76,0,20,2.735,0.01,0.0055
242,8444.4,-3479.2,0,130,0.168461538,0.0715,0.0055
382,8651.8,-3310.84,0,60,0.76,0.075,0.006
500,8777.6,-3161.8,0,65,0.051538462,0.026,0.00625
653,9245.95,-3917.12,0,20,0.6625,0.0085,0.007
162,8278.65,-3296.12,0,20,0.195,0.0125,0.007
29,8128.2,-3834.32,0,120,0.553333333,0.015,0.007
533,8851.55,-3194.92,0,80,0.885,0.108,0.007
326,8558.3,-3609.84,0,120,0.366666667,0.19,0.007
59,8186,-3462.64,0,20,0.56,0.0115,0.0075
154,8268.45,-3274.04,0,20,0.645,0.013,0.0075
1174,9478.85,-3308.08,0,110,0.99,0.0655,0.0075
402,8677.3,-3741.4,0,110,0.08,0.129,0.0075
345,8594,-4125.96,0,20,5.1125,0.0345,0.008
530,8844.75,-3182.96,0,80,0.22,0.088,0.008
309,8530.25,-3586.84,0,20,0.265,0.007,0.0085
466,8755.5,-3352.24,0,93,1.207741935,0.02015,0.0089
121,8249.75,-3731.28,0,10,1.05,0.012,0.009
449,8739.35,-3368.8,0,100,0.452,0.033,0.009
308,8530.25,-4006.36,0,20,1.325,0.0157,0.00945
350,8608.6897,-4124.7088,0,20,1.495,0.0157,0.00945
88,8223.4,-4132.4,0,20,0.255,0.01575,0.00945
145,8264.2,-4098.36,0,20,1.205,0.01575,0.00945
338,8581.25,-3951.16,0,20,0.2,0.01585,0.0095
356,8618.65,-3965.88,0,20,0.725,0.01585,0.0095
527,8821.8,-3655.84,0,20,1.56,0.01585,0.0095
15,8101.85,-3557.4,0,110,0.243636364,0.1535,0.0095
339,8582.95,-3944.72,0,20,0.99,0.0159,0.0096
337,8580.4,-3941.04,0,20,2.665,0.0159,0.0096
335,8578.7,-3938.28,0,20,5.335,0.0159,0.0096
361,8628,-3191.24,0,60,0.306666667,0.011,0.01
480,8762.3,-3367.88,0,60,0.096666667,0.018,0.01
131,8257.4,-3340.28,0,120,0.511666667,0.032,0.01
458,8749.55,-3171.92,0,80,1.77,0.06,0.01
17,8104.4,-3561.08,0,110,0.328181818,0.1655,0.01
485,8764.85,-3356.84,0,72,0.261111111,0.0246,0.0108
789,9343.7,-3519.68,0,20,1.885,0.01805,0.01135
124,8250.6,-3330.16,0,130,0.376153846,0.028,0.0115
541,8866,-3756.12,0,130,0.785384615,0.0395,0.0115
487,8765.7,-3367.88,0,95,0.053684211,0.024,0.01175
265,8469.06275,-4126.55156,0,30,13.4785,0.0197,0.01185
572,8985,-4036.72,0,30,0.151833333,0.01985,0.01185
626,9150.75,-4094.68,0,30,0.151833333,0.01985,0.01185
163,8279.5,-4019.24,0,20,0.43,0.0125,0.012
409,8686.65,-3449.76,0,20,0.165,0.015,0.012
266,8471.6,-3751.52,0,120,0.286666667,0.029,0.012
